I007I,I007I.1,I007I.2,I007I.3,I007I.4,I007I.5,I007I.6,I007I.7,I007I.8,I007I.9,I007I.10,I007I.11,I007I.12,I007I.13,I007I.14,I007I.15,I007I.16,I007I.17,I007I.18,I007I.19,STVST4NL3Y,STVST4NL3Y.1,STVST4NL3Y.2,STVST4NL3Y.3,STVST4NL3Y.4,STVST4NL3Y.5,STVST4NL3Y.6,STVST4NL3Y.7,STVST4NL3Y.8,STVST4NL3Y.9,STVST4NL3Y.10,STVST4NL3Y.11,STVST4NL3Y.12,STVST4NL3Y.13,STVST4NL3Y.14,STVST4NL3Y.15,STVST4NL3Y.16,STVST4NL3Y.17,STVST4NL3Y.18,STVST4NL3Y.19,ball,ball.1,ball.2,ball.3,ball.4,ball.5,ball.6,ball.7,ball.8,ball.9,ball.10,ball.11,ball.12,game,game.1,game.2,game.3,game.4,game.5,I007I.20,STVST4NL3Y.20
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,jump_active,double_jump_active,dodge_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,double_jump_active,boost,boost_active,jump_active,dodge_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.6419544219970703,0.039412401616573334,300,,,,,
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.681419849395752,0.03946559876203537,300,,,,,
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.7208967208862305,0.0394769012928009,300,,,,,
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.760289192199707,0.03939239680767059,300,,,,,
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.801396369934082,0.04110710322856903,300,,,,,
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.840754508972168,0.03935829922556877,300,,,,,
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.8795130252838135,0.038758598268032074,300,,,,,
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.919221878051758,0.0397087000310421,300,,,,,
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.9581828117370605,0.03896100074052811,300,,,,,
