Twitch iycro,Twitch iycro.1,Twitch iycro.2,Twitch iycro.3,Twitch iycro.4,Twitch iycro.5,Twitch iycro.6,Twitch iycro.7,Twitch iycro.8,Twitch iycro.9,Twitch iycro.10,Twitch iycro.11,Twitch iycro.12,Twitch iycro.13,Twitch iycro.14,Twitch iycro.15,Twitch iycro.16,Twitch iycro.17,Twitch iycro.18,Twitch iycro.19,CXR CLAPS,CXR CLAPS.1,CXR CLAPS.2,CXR CLAPS.3,CXR CLAPS.4,CXR CLAPS.5,CXR CLAPS.6,CXR CLAPS.7,CXR CLAPS.8,CXR CLAPS.9,CXR CLAPS.10,CXR CLAPS.11,CXR CLAPS.12,CXR CLAPS.13,CXR CLAPS.14,CXR CLAPS.15,CXR CLAPS.16,CXR CLAPS.17,CXR CLAPS.18,CXR CLAPS.19,ball,ball.1,ball.2,ball.3,ball.4,ball.5,ball.6,ball.7,ball.8,ball.9,ball.10,ball.11,ball.12,game,game.1,game.2,game.3,game.4,game.5,Twitch iycro.20,CXR CLAPS.20
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,jump_active,boost,boost_active,dodge_active,double_jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,double_jump_active,jump_active,dodge_active,boost,boost_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
0.0,-4608.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,160.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,4608.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5000000074505806,0.0,0.0,,,,0.016823012125105088,-1.5707755005309576,1.744457236334387e-07,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.6736621856689453,0.036604300141334534,300,,,,,
0.0,-4608.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,160.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,4608.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5000000074505806,0.0,0.0,,,,0.016823012125105088,-1.5707755005309576,1.744457236334387e-07,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.706995725631714,0.03333389759063721,300,,,,,
0.0,-4608.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,161.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,4608.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5000000074505806,0.0,0.0,,,,0.016823012125105088,-1.5707755005309576,1.744457236334387e-07,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.740330219268799,0.03333429992198944,300,,,,,
0.0,-4608.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,161.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,4608.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5000000074505806,0.0,0.0,,,,0.016823012125105088,-1.5707755005309576,1.744457236334387e-07,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.7736642360687256,0.03333420306444168,300,,,,,
0.0,-4608.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,161.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,4608.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5000000074505806,0.0,0.0,,,,0.016823012125105088,-1.5707755005309576,1.744457236334387e-07,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.8069980144500732,0.033333998173475266,300,,,,,
0.0,-4608.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,161.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,4608.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5000000074505806,0.0,0.0,,,,0.016823012125105088,-1.5707755005309576,1.744457236334387e-07,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.8403313159942627,0.03333380073308945,300,,,,,
0.0,-4608.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,161.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,4608.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5000000074505806,0.0,0.0,,,,0.016823012125105088,-1.5707755005309576,1.744457236334387e-07,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.8737196922302246,0.0333888977766037,300,,,,,
0.0,-4608.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,161.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,4608.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5000000074505806,0.0,0.0,,,,0.016823012125105088,-1.5707755005309576,1.744457236334387e-07,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.9073235988616943,0.033604200929403305,300,,,,,
0.0,-4608.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,161.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,4608.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5000000074505806,0.0,0.0,,,,0.016823012125105088,-1.5707755005309576,1.744457236334387e-07,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.940682888031006,0.03335930034518242,300,,,,,
