Phomohobic,Phomohobic.1,Phomohobic.2,Phomohobic.3,Phomohobic.4,Phomohobic.5,Phomohobic.6,Phomohobic.7,Phomohobic.8,Phomohobic.9,Phomohobic.10,Phomohobic.11,Phomohobic.12,Phomohobic.13,Phomohobic.14,Phomohobic.15,Phomohobic.16,Phomohobic.17,Phomohobic.18,Phomohobic.19,RegisChilbin,RegisChilbin.1,RegisChilbin.2,RegisChilbin.3,RegisChilbin.4,RegisChilbin.5,RegisChilbin.6,RegisChilbin.7,RegisChilbin.8,RegisChilbin.9,RegisChilbin.10,RegisChilbin.11,RegisChilbin.12,RegisChilbin.13,RegisChilbin.14,RegisChilbin.15,RegisChilbin.16,RegisChilbin.17,RegisChilbin.18,RegisChilbin.19,ball,ball.1,ball.2,ball.3,ball.4,ball.5,ball.6,ball.7,ball.8,ball.9,ball.10,ball.11,ball.12,game,game.1,game.2,game.3,game.4,game.5,Phomohobic.20,RegisChilbin.20
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,jump_active,double_jump_active,boost,boost_active,dodge_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,dodge_active,boost,boost_active,jump_active,double_jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,False,False,85.0,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.6186888217926025,0.0674976035952568,300,,,,,
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,False,False,85.0,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.65390682220459,0.03521779924631119,300,,,,,
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,False,False,85.0,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.6906068325042725,0.03669989854097366,300,,,,,
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,False,False,85.0,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.7254045009613037,0.03479760140180588,300,,,,,
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,False,False,85.0,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.759784460067749,0.03437979891896248,300,,,,,
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,False,False,85.0,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.7943780422210693,0.034593600779771805,300,,,,,
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,False,False,85.0,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.8291594982147217,0.03478140011429787,300,,,,,
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,False,False,85.0,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.863577127456665,0.03441759943962097,300,,,,,
256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,False,False,85.0,False,False,-256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,,,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.8980321884155273,0.03445449844002724,300,,,,,
