loverboy12.,loverboy12..1,loverboy12..2,loverboy12..3,loverboy12..4,loverboy12..5,loverboy12..6,loverboy12..7,loverboy12..8,loverboy12..9,loverboy12..10,loverboy12..11,loverboy12..12,loverboy12..13,loverboy12..14,loverboy12..15,loverboy12..16,loverboy12..17,loverboy12..18,loverboy12..19,Maurice,Maurice.1,Maurice.2,Maurice.3,Maurice.4,Maurice.5,Maurice.6,Maurice.7,Maurice.8,Maurice.9,Maurice.10,Maurice.11,Maurice.12,Maurice.13,Maurice.14,Maurice.15,Maurice.16,Maurice.17,Maurice.18,Maurice.19,ball,ball.1,ball.2,ball.3,ball.4,ball.5,ball.6,ball.7,ball.8,ball.9,ball.10,ball.11,ball.12,game,game.1,game.2,game.3,game.4,game.5,loverboy12..20,Maurice.20
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,jump_active,double_jump_active,dodge_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,dodge_active,double_jump_active,jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,85.0,False,False,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.513291835784912,0.03579770028591156,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,85.0,False,False,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.548300266265869,0.035008400678634644,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,85.0,False,False,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.583460330963135,0.03516029939055443,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,85.0,False,False,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.6186137199401855,0.03515329957008362,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,85.0,False,False,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.653637886047363,0.03502419963479042,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,85.0,False,False,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.688689708709717,0.03505159914493561,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,85.0,False,False,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.723690509796143,0.035000599920749664,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,85.0,False,False,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.758691310882568,0.0350010022521019,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,85.0,False,False,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.793692111968994,0.03500089794397354,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,85.0,False,False,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.82869291305542,0.0350010022521019,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,85.0,False,False,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.863693714141846,0.03500089794397354,300,,,,,
