Rico,Rico.1,Rico.2,Rico.3,Rico.4,Rico.5,Rico.6,Rico.7,Rico.8,Rico.9,Rico.10,Rico.11,Rico.12,Rico.13,Rico.14,Rico.15,Rico.16,Rico.17,Rico.18,Rico.19,EISjW,EISjW.1,EISjW.2,EISjW.3,EISjW.4,EISjW.5,EISjW.6,EISjW.7,EISjW.8,EISjW.9,EISjW.10,EISjW.11,EISjW.12,EISjW.13,EISjW.14,EISjW.15,EISjW.16,EISjW.17,EISjW.18,EISjW.19,ball,ball.1,ball.2,ball.3,ball.4,ball.5,ball.6,ball.7,ball.8,ball.9,ball.10,ball.11,ball.12,game,game.1,game.2,game.3,game.4,game.5,Rico.20,EISjW.20
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,jump_active,double_jump_active,dodge_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,jump_active,dodge_active,double_jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.459914207458496,0.033385999500751495,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.493250846862793,0.03333429992198944,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.526588439941406,0.03333489969372749,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.559925079345703,0.03333450108766556,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.59326171875,0.03333419933915138,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.626598358154297,0.033334098756313324,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.659934997558594,0.03333419933915138,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.69327163696289,0.033334001898765564,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.726608276367188,0.03333419933915138,300,,,,,
